product_id,product_name,category,segment,size,color,price,cogs
536,saigonflex uc-01,streetwear,everyday,S,green,11059.65,9704.842875
537,saigonflex uc-02,streetwear,everyday,M,silver,9523.076012658228,5393.87025356962
538,saigonflex uc-03,streetwear,everyday,L,pink,15951.633157894736,11371.919278263158
539,saigonflex uc-04,streetwear,everyday,XL,yellow,15753.7172985782,8573.172953886256
540,saigonflex uc-05,streetwear,everyday,S,red,15766.334536082471,14063.570406185569
541,saigonflex uc-06,streetwear,everyday,M,black,16095.853846153846,15291.061153846153
542,saigonflex uc-07,streetwear,everyday,L,orange,9213.817741935483,6152.066106290323
543,saigonflex uc-08,streetwear,everyday,XL,blue,40.39417781955786,22.4877477162706
544,saigonflex uc-09,streetwear,everyday,S,white,11334.106451612904,8528.91510483871
545,saigonflex uc-10,streetwear,everyday,M,purple,10045.678411214954,9091.338962149532
546,saigonflex uc-11,streetwear,everyday,L,green,16066.115625,13338.089191875
547,saigonflex uc-12,streetwear,everyday,XL,silver,6544.421470588235,4298.376021882353
548,saigonflex uc-13,streetwear,everyday,S,pink,6163.409553488373,4883.885730184186
549,saigonflex uc-14,streetwear,everyday,M,yellow,6655.753057615516,5205.464466361095
550,saigonflex uc-15,streetwear,everyday,L,red,5184.6242217898825,3404.7427264494163
551,saigonflex uc-16,streetwear,everyday,XL,black,11245.40662055336,10683.136289525692
552,saigonflex uc-17,streetwear,everyday,S,orange,11588.85,11009.4075
553,saigonflex uc-18,streetwear,everyday,M,blue,11516.617241379312,9748.816494827586
554,saigonflex uc-19,streetwear,everyday,L,white,10501.44709090909,6426.885619636364
555,saigonflex uc-20,streetwear,everyday,XL,purple,10520.478996539792,9994.455046712805
556,saigonflex uc-21,streetwear,everyday,S,green,10268.64391304348,9686.411803173914
557,saigonflex uc-22,streetwear,everyday,M,silver,10090.442604501608,7554.714377990354
558,saigonflex uc-23,streetwear,everyday,L,pink,18269.37,14094.818955
559,saigonflex uc-24,streetwear,everyday,XL,yellow,7658.988223707352,6569.1141994737945
560,saigonflex uc-25,streetwear,everyday,S,red,8428.274494382023,7354.512323797754
561,saigonflex uc-26,streetwear,everyday,M,black,8951.670000000002,7753.936554000001
562,saigonflex uc-27,streetwear,everyday,L,orange,11109.750837988828,10554.263296089386
563,saigonflex uc-28,streetwear,everyday,XL,blue,9445.094755700327,8972.84001791531
564,saigonflex uc-29,streetwear,everyday,S,white,11503.8,7876.651859999999
565,saigonflex uc-30,streetwear,everyday,M,purple,10752.791426927502,9051.699823187571
